,id,age group,gender,age,dataset
251,390,adult,female,48.0,train
252,392,adult,female,38.0,train
253,393,children&Adolescents,female,13.0,train
254,396,seniors,male,62.0,test
255,397,adult,female,19.0,train
256,398,adult,female,58.0,train
257,399,adult,female,57.0,train
258,400,seniors,female,72.0,test
259,402,seniors,male,60.0,test
260,404,seniors,female,73.0,test
261,405,seniors,male,69.0,test
262,406,adult,male,51.0,train
263,407,seniors,male,96.0,test
264,408,seniors,male,70.0,test
265,409,seniors,male,78.0,test
266,410,seniors,male,79.0,test
267,411,seniors,male,75.0,test
268,412,seniors,male,76.0,test
269,413,seniors,male,72.0,test
270,416,seniors,male,77.0,test
271,419,seniors,male,82.0,test
272,420,seniors,female,84.0,test
273,421,seniors,male,75.0,test
274,423,seniors,male,78.0,test
275,424,seniors,male,80.0,test
276,425,seniors,male,78.0,test
277,426,children&Adolescents,female,18.0,train
278,427,children&Adolescents,female,18.0,train
279,428,seniors,male,83.0,test
280,429,seniors,male,83.0,test
281,430,seniors,female,83.0,test
282,431,adult,female,83.0,train
283,432,children&Adolescents,male,19.0,train
284,433,seniors,male,85.0,test
285,434,children&Adolescents,female,17.0,train
286,435,adult,male,20.0,train
287,436,adult,female,55.0,train
288,437,adult,female,26.0,train
289,439,children&Adolescents,male,17.0,train
290,440,children&Adolescents,male,17.0,train
291,441,children&Adolescents,female,18.0,train
292,442,children&Adolescents,female,18.0,train
293,443,adult,female,26.0,train
294,444,adult,male,24.0,train
295,449,children&Adolescents,female,18.0,train
296,450,children&Adolescents,female,18.0,train
297,451,seniors,female,76.0,test
298,452,children&Adolescents,female,12.0,train
299,453,children&Adolescents,male,15.0,train
300,454,adult,male,47.0,train
301,455,children&Adolescents,female,17.0,train
302,456,children&Adolescents,female,15.0,train
303,457,children&Adolescents,female,12.0,train
304,458,adult,female,26.0,train
305,459,adult,female,29.0,train
306,461,adult,male,59.0,train
307,462,children&Adolescents,male,12.0,train
308,464,children&Adolescents,female,13.0,train
309,465,adult,male,29.0,train
310,466,adult,female,26.0,train
311,467,children&Adolescents,female,15.0,train
312,468,children&Adolescents,male,15.0,train
313,469,children&Adolescents,female,15.0,train
314,470,children&Adolescents,female,15.0,train
315,471,children&Adolescents,female,15.0,train
316,473,children&Adolescents,male,15.0,train
317,475,children&Adolescents,female,15.0,train
318,476,children&Adolescents,male,15.0,train
319,477,children&Adolescents,female,15.0,train
320,478,children&Adolescents,male,15.0,train
321,479,children&Adolescents,female,15.0,train
322,480,children&Adolescents,male,15.0,train
323,481,children&Adolescents,female,13.0,train
324,482,children&Adolescents,male,12.0,train
325,483,children&Adolescents,male,18.0,train
326,484,seniors,male,83.0,test
327,485,seniors,female,77.0,test
328,486,seniors,male,74.0,test
329,488,seniors,female,72.0,test
330,500,children&Adolescents,female,14.0,train
331,501,children&Adolescents,female,15.0,train
332,502,adult,female,25.0,train
333,503,adult,male,20.0,train
334,505,adult,female,24.0,train
335,506,adult,male,21.0,train
336,507,adult,male,21.0,train
337,508,adult,male,21.0,train
338,510,adult,female,26.0,train
339,511,adult,female,21.0,train
340,512,adult,female,21.0,train
341,513,adult,female,20.0,train
342,514,adult,male,29.0,train
343,515,adult,female,20.0,train
344,516,adult,female,20.0,train
345,517,adult,male,24.0,train
346,518,adult,male,24.0,train
347,519,adult,female,55.0,train
348,520,adult,male,20.0,train
349,521,adult,male,20.0,train
350,522,adult,male,21.0,train
351,525,adult,female,21.0,train
352,526,adult,female,20.0,train
353,527,adult,male,20.0,train
354,528,adult,male,22.0,train
355,529,adult,female,22.0,train
356,530,adult,female,23.0,train
357,531,adult,male,20.0,train
358,532,adult,female,20.0,train
359,536,adult,female,20.0,train
360,537,adult,female,21.0,train
361,538,adult,male,20.0,train
362,539,adult,female,20.0,train
363,540,adult,female,20.0,train
364,541,adult,female,21.0,train
365,542,adult,female,29.0,train
366,543,adult,male,20.0,train
367,544,adult,female,22.0,train
368,545,adult,female,21.0,train
369,546,adult,male,26.0,train
370,547,adult,male,20.0,train
371,548,adult,female,21.0,train
372,549,adult,female,21.0,train
373,550,adult,female,26.0,train
374,552,adult,female,24.0,train
375,553,adult,female,20.0,train
376,554,adult,female,20.0,train
377,555,adult,male,20.0,train
378,556,adult,male,19.0,train
379,557,adult,female,22.0,train
380,559,adult,male,21.0,train
381,560,adult,female,19.0,train
382,561,adult,male,30.0,train
383,562,adult,male,29.0,train
384,563,adult,female,20.0,train
385,564,adult,female,19.0,train
386,565,adult,female,20.0,train
387,566,adult,female,20.0,train
388,567,adult,female,21.0,train
389,568,adult,male,23.0,train
390,569,adult,male,21.0,train
391,570,adult,female,20.0,train
392,571,adult,female,20.0,train
393,572,adult,female,21.0,train
394,573,adult,female,21.0,train
395,574,adult,non-binary,22.0,train
396,575,adult,female,21.0,train
397,576,adult,male,21.0,train
398,577,adult,female,20.0,train
399,578,adult,female,20.0,train
400,579,adult,female,20.0,train
401,580,adult,female,27.0,train
402,581,adult,female,24.0,train
403,582,adult,female,22.0,train
404,584,adult,female,24.0,train
405,585,adult,female,21.0,train
406,587,adult,male,20.0,train
407,588,adult,male,24.0,train
408,589,adult,female,23.0,train
409,590,adult,female,23.0,train
410,591,adult,female,22.0,train
411,592,adult,female,20.0,train
412,593,adult,male,20.0,train
413,594,adult,male,21.0,train
414,595,adult,female,21.0,train
415,596,adult,female,20.0,train
416,597,adult,male,20.0,train
417,598,adult,female,21.0,train
418,599,adult,female,22.0,train
419,600,adult,female,22.0,train
420,601,adult,female,24.0,train
421,602,adult,male,20.0,train
422,603,adult,female,25.0,train
423,604,adult,female,23.0,train
424,605,adult,female,24.0,train
425,606,adult,female,25.0,train
426,607,adult,male,21.0,train
427,608,adult,female,23.0,train
428,609,adult,female,21.0,train
429,610,adult,female,22.0,train
430,612,adult,female,21.0,train
431,613,adult,female,20.0,train
432,614,adult,female,20.0,train
433,615,adult,female,20.0,train
434,616,adult,female,20.0,train
435,617,adult,female,30.0,train
436,618,adult,female,22.0,train
437,619,adult,male,35.0,train
438,620,adult,female,39.0,train
439,621,adult,female,22.0,train
440,622,adult,male,21.0,train
441,623,adult,female,21.0,train
442,624,adult,female,23.0,train
443,625,adult,female,22.0,train
444,626,adult,male,21.0,train
445,627,adult,female,22.0,train
446,628,adult,female,23.0,train
447,629,adult,female,23.0,train
448,630,adult,male,27.0,train
449,631,adult,female,25.0,train
450,632,adult,female,21.0,train
451,633,adult,male,25.0,train
452,634,adult,female,20.0,train
453,635,adult,female,22.0,train
454,637,adult,male,20.0,train
455,638,adult,female,20.0,train
456,639,adult,female,20.0,train
457,640,adult,female,20.0,train
458,641,adult,female,20.0,train
459,642,adult,male,21.0,train
460,643,adult,female,19.0,train
461,645,adult,female,20.0,train
462,646,adult,female,24.0,train
463,647,adult,female,24.0,train
464,648,adult,female,20.0,train
465,649,adult,female,24.0,train
466,650,adult,male,27.0,train
467,654,adult,female,23.0,train
468,655,adult,male,23.0,train
469,657,adult,male,25.0,train
470,659,adult,female,22.0,train
471,660,adult,male,22.0,train
472,664,adult,female,20.0,train
473,665,adult,female,20.0,train
474,666,adult,male,22.0,train
475,667,adult,female,20.0,train
476,668,adult,female,20.0,train
477,669,adult,female,20.0,train
478,670,adult,female,20.0,train
479,671,adult,female,24.0,train
480,672,adult,female,25.0,train
481,673,adult,female,24.0,train
482,675,adult,female,21.0,train
483,676,adult,female,20.0,train
484,677,adult,female,20.0,train
485,678,adult,male,21.0,train
486,679,adult,female,20.0,train
487,680,adult,male,25.0,train
488,682,adult,female,31.0,train
489,683,adult,female,23.0,train
490,684,adult,male,26.0,train
491,685,adult,male,26.0,train
492,686,adult,male,26.0,train
493,687,adult,male,24.0,train
494,688,adult,female,23.0,train
495,689,adult,male,24.0,train
496,691,adult,female,20.0,train
497,693,adult,male,23.0,train
498,695,adult,female,22.0,train
499,696,adult,male,22.0,train
500,697,adult,male,21.0,train
501,698,adult,male,20.0,train
502,699,adult,female,20.0,train
503,700,adult,female,20.0,train
504,701,adult,female,20.0,train
505,702,adult,male,21.0,train
506,703,adult,male,20.0,train
507,704,adult,female,21.0,train
508,705,adult,female,25.0,train
509,706,adult,female,21.0,train
510,707,adult,female,20.0,train
511,708,adult,male,22.0,train
512,709,adult,male,27.0,train
513,710,adult,male,21.0,train
514,711,adult,male,21.0,train
515,712,adult,female,19.0,train
516,713,children&Adolescents,female,18.0,train
517,714,adult,male,23.0,train
518,715,adult,male,22.0,train
519,716,adult,female,26.0,train
520,717,adult,male,31.0,train
521,719,adult,male,21.0,train
522,720,adult,male,22.0,train
523,721,adult,female,22.0,train
524,722,adult,female,23.0,train
525,723,adult,male,29.0,train
526,724,adult,female,25.0,train
527,725,adult,male,33.0,train
528,726,adult,male,33.0,train
529,727,adult,female,21.0,train
530,728,adult,female,21.0,train
531,729,adult,female,24.0,train
532,730,adult,female,24.0,train
533,731,adult,male,20.0,train
534,732,adult,female,20.0,train
535,733,adult,female,20.0,train
536,734,adult,female,23.0,train
537,735,adult,male,22.0,train
538,736,adult,male,25.0,train
539,737,adult,male,29.0,train
540,739,adult,male,22.0,train
541,740,adult,male,21.0,train
542,741,adult,female,21.0,train
543,742,adult,male,20.0,train
544,744,adult,male,22.0,train
545,746,adult,female,23.0,train
546,747,adult,male,27.0,train
547,748,adult,female,22.0,train
548,749,adult,female,23.0,train
549,750,adult,female,20.0,train
550,751,adult,female,22.0,train
551,752,adult,female,22.0,train
552,753,adult,female,22.0,train
553,755,adult,female,22.0,train
554,756,adult,female,20.0,train
555,757,adult,female,19.0,train
556,758,adult,female,21.0,train
557,759,adult,female,19.0,train
558,760,adult,female,22.0,train
559,761,adult,male,25.0,train
560,762,adult,male,20.0,train
561,763,adult,female,22.0,train
562,764,children&Adolescents,male,15.0,train
563,765,adult,female,23.0,train
564,766,adult,female,20.0,train
565,767,adult,female,19.0,train
566,768,adult,male,21.0,train
567,769,adult,female,21.0,train
568,770,adult,female,24.0,train
569,771,adult,female,24.0,train
570,772,adult,male,22.0,train
571,773,adult,male,22.0,train
572,774,adult,female,20.0,train
573,775,adult,female,23.0,train
574,776,adult,female,22.0,train
575,777,adult,female,21.0,train
576,779,adult,female,21.0,train
577,1116,adult,female,29.0,train
578,1150,adult,male,33.0,train
579,1151,adult,female,32.0,train
580,1152,seniors,female,66.0,test
581,1233,children&Adolescents,female,17.0,train
582,1245,children&Adolescents,female,14.0,train
583,1248,children&Adolescents,female,14.0,train
584,1254,children&Adolescents,female,14.0,train
585,1258,children&Adolescents,female,14.0,train
586,1262,children&Adolescents,female,14.0,train
587,1263,children&Adolescents,female,14.0,train
588,1264,children&Adolescents,female,14.0,train
589,1269,children&Adolescents,female,14.0,train
590,1273,children&Adolescents,female,14.0,train
591,1278,children&Adolescents,female,14.0,train
592,1280,children&Adolescents,female,14.0,train
593,1281,children&Adolescents,female,14.0,train
594,1284,children&Adolescents,female,14.0,train
595,1285,children&Adolescents,female,14.0,train
596,1290,children&Adolescents,female,14.0,train
597,1293,children&Adolescents,female,14.0,train
598,1298,children&Adolescents,female,14.0,train
599,1300,children&Adolescents,female,14.0,train
600,1302,children&Adolescents,female,14.0,train
601,1303,children&Adolescents,female,14.0,train
602,1305,children&Adolescents,female,14.0,train
603,1307,children&Adolescents,female,14.0,train
604,1309,children&Adolescents,female,14.0,train
605,1312,children&Adolescents,female,14.0,train
606,1314,children&Adolescents,female,14.0,train
607,1315,children&Adolescents,female,14.0,train
608,1317,children&Adolescents,female,14.0,train
609,1318,children&Adolescents,female,14.0,train
610,1342,children&Adolescents,female,14.0,train
611,1343,children&Adolescents,female,14.0,train
612,1345,children&Adolescents,female,14.0,train
613,1346,children&Adolescents,female,14.0,train
614,1347,children&Adolescents,female,14.0,train
615,1349,children&Adolescents,female,14.0,train
616,1350,children&Adolescents,female,14.0,train
617,1351,children&Adolescents,female,14.0,train
618,1352,children&Adolescents,female,14.0,train
619,1353,children&Adolescents,female,14.0,train
620,1354,children&Adolescents,female,14.0,train
621,1355,children&Adolescents,female,14.0,train
622,1356,children&Adolescents,female,14.0,train
623,1357,children&Adolescents,female,14.0,train
624,1358,children&Adolescents,female,14.0,train
625,1359,children&Adolescents,female,14.0,train
626,1360,children&Adolescents,female,14.0,train
627,1361,children&Adolescents,female,14.0,train
628,1362,children&Adolescents,female,14.0,train
629,1363,children&Adolescents,female,14.0,train
630,1364,children&Adolescents,female,14.0,train
631,1365,children&Adolescents,female,14.0,train
632,1367,children&Adolescents,female,14.0,train
633,1369,children&Adolescents,female,14.0,train
634,1370,children&Adolescents,female,14.0,train
635,1371,children&Adolescents,female,14.0,train
636,1372,children&Adolescents,female,14.0,train
637,1388,seniors,female,73.0,test
638,1390,seniors,female,65.0,test
639,1392,seniors,female,65.0,test
640,1394,seniors,female,63.0,test
641,1396,children&Adolescents,female,14.0,train
642,1397,children&Adolescents,female,14.0,train
643,1399,children&Adolescents,female,14.0,train
644,1400,children&Adolescents,female,14.0,train
645,1402,children&Adolescents,female,14.0,train
646,1403,children&Adolescents,female,14.0,train
647,1404,children&Adolescents,female,14.0,train
648,1405,children&Adolescents,female,14.0,train
649,1406,children&Adolescents,female,14.0,train
650,1407,children&Adolescents,female,14.0,train
651,1409,children&Adolescents,female,14.0,train
652,1410,children&Adolescents,female,14.0,train
653,1411,children&Adolescents,female,14.0,train
654,1412,children&Adolescents,female,14.0,train
655,1413,children&Adolescents,female,14.0,train
656,1415,children&Adolescents,female,14.0,train
657,1416,children&Adolescents,female,14.0,train
658,1417,children&Adolescents,female,14.0,train
659,1418,children&Adolescents,female,14.0,train
660,1419,children&Adolescents,female,14.0,train
661,1421,children&Adolescents,female,14.0,train
662,1422,children&Adolescents,female,14.0,train
663,1423,children&Adolescents,female,14.0,train
664,1424,seniors,female,73.0,test
665,1425,children&Adolescents,female,14.0,train
666,1430,children&Adolescents,female,14.0,train
667,1431,children&Adolescents,female,14.0,train
668,1432,children&Adolescents,female,14.0,train
669,1433,children&Adolescents,female,14.0,train
670,1434,children&Adolescents,female,14.0,train
671,1437,children&Adolescents,female,14.0,train
672,1438,children&Adolescents,female,14.0,train
673,1439,children&Adolescents,female,14.0,train
674,1440,children&Adolescents,female,14.0,train
675,1441,children&Adolescents,female,14.0,train
676,1442,children&Adolescents,female,14.0,train
677,1443,children&Adolescents,female,14.0,train
678,1444,children&Adolescents,female,14.0,train
679,1445,children&Adolescents,female,14.0,train
680,1446,children&Adolescents,female,14.0,train
681,1447,children&Adolescents,female,14.0,train
682,1448,children&Adolescents,female,14.0,train
683,1449,children&Adolescents,female,14.0,train
684,1450,children&Adolescents,female,14.0,train
685,1451,children&Adolescents,female,14.0,train
686,1452,children&Adolescents,female,14.0,train
687,1453,children&Adolescents,female,14.0,train
688,1454,children&Adolescents,female,14.0,train
689,1455,children&Adolescents,female,14.0,train
690,1456,children&Adolescents,female,14.0,train
691,1458,children&Adolescents,female,14.0,train
692,1459,children&Adolescents,female,14.0,train
693,1460,children&Adolescents,female,14.0,train
694,1461,children&Adolescents,female,14.0,train
695,1462,children&Adolescents,female,14.0,train
696,1465,children&Adolescents,female,14.0,train
697,1466,seniors,female,62.0,test
698,1467,seniors,female,62.0,test
699,1468,seniors,female,73.0,test
700,1469,seniors,female,63.0,test
701,1473,children&Adolescents,female,14.0,train
702,1476,children&Adolescents,female,14.0,train
703,1478,children&Adolescents,female,14.0,train
704,1479,children&Adolescents,female,14.0,train
705,1480,children&Adolescents,female,14.0,train
706,1482,children&Adolescents,female,14.0,train
707,1483,children&Adolescents,female,14.0,train
708,1484,children&Adolescents,female,14.0,train
709,1485,children&Adolescents,female,14.0,train
710,1486,children&Adolescents,female,14.0,train
711,1487,children&Adolescents,female,14.0,train
712,1488,children&Adolescents,female,14.0,train
713,1489,children&Adolescents,female,14.0,train
714,1493,children&Adolescents,female,14.0,train
715,1495,children&Adolescents,female,14.0,train
716,1496,children&Adolescents,female,14.0,train
717,1497,children&Adolescents,female,14.0,train
718,1498,children&Adolescents,female,14.0,train
719,1499,children&Adolescents,female,14.0,train
720,1501,children&Adolescents,female,14.0,train
721,1502,children&Adolescents,female,14.0,train
722,1503,children&Adolescents,female,14.0,train
723,1504,children&Adolescents,female,14.0,train
724,1505,children&Adolescents,female,14.0,train
725,1506,seniors,non-binary,121111.0,test
726,1507,children&Adolescents,male,14.0,train
727,1508,children&Adolescents,female,14.0,train
728,1512,children&Adolescents,female,14.0,train
729,1518,seniors,female,76.0,test
730,1519,seniors,female,61.0,test
731,1523,children&Adolescents,female,16.0,train
732,1524,children&Adolescents,female,15.0,train
733,1525,children&Adolescents,female,14.0,train
734,1526,children&Adolescents,female,14.0,train
735,1527,children&Adolescents,female,16.0,train
736,1528,children&Adolescents,female,16.0,train
737,1529,children&Adolescents,female,15.0,train
738,1530,children&Adolescents,female,16.0,train
739,1531,children&Adolescents,female,15.0,train
740,1532,children&Adolescents,female,14.0,train
741,1533,children&Adolescents,female,14.0,train
742,1534,children&Adolescents,female,15.0,train
743,1537,seniors,male,69.0,test
744,1538,seniors,male,73.0,test
745,1540,seniors,female,74.0,test
746,1541,seniors,female,61.0,test
747,1542,seniors,female,67.0,test
748,1543,seniors,male,63.0,test
749,1544,seniors,male,73.0,test
750,1545,seniors,male,68.0,test
751,1550,children&Adolescents,male,12.0,train
752,1551,seniors,female,84.0,test
753,1552,seniors,female,76.0,test
754,1553,seniors,female,72.0,test
755,1554,seniors,female,72.0,test
756,1555,seniors,male,68.0,test
757,1557,seniors,female,68.0,test
758,1558,seniors,male,69.0,test
759,1559,seniors,female,65.0,test
760,1561,seniors,female,66.0,test
761,1562,seniors,female,63.0,test
762,1563,seniors,female,66.0,test
763,1564,seniors,male,61.0,test
764,1565,seniors,male,63.0,test
765,1566,seniors,male,63.0,test
766,1567,seniors,male,63.0,test
767,1568,seniors,female,61.0,test
768,1569,seniors,male,63.0,test
769,1570,seniors,female,75.0,test
770,1572,seniors,female,66.0,test
771,1573,seniors,female,64.0,test
772,1575,seniors,female,65.0,test
773,1576,seniors,male,69.0,test
774,1578,seniors,female,71.0,test
775,1579,seniors,male,69.0,test
776,1581,seniors,female,75.0,test
777,1582,seniors,female,71.0,test
778,1583,seniors,male,73.0,test
779,1584,seniors,male,73.0,test
780,1586,seniors,male,63.0,test
781,1587,seniors,male,63.0,test
782,1589,seniors,female,71.0,test
783,1591,seniors,female,67.0,test
784,1592,seniors,male,67.0,test
785,1593,seniors,male,61.0,test
786,1594,seniors,female,66.0,test
787,1595,seniors,male,67.0,test
788,1596,seniors,male,65.0,test
789,1597,seniors,male,71.0,test
790,1598,seniors,female,63.0,test
791,1599,seniors,female,70.0,test
792,1602,seniors,male,83.0,test
793,1605,seniors,male,86.0,test
794,1606,seniors,female,61.0,test
795,1607,seniors,female,82.0,test
796,1608,seniors,female,67.0,test
797,1610,seniors,female,76.0,test
798,1613,seniors,female,71.0,test
799,1614,seniors,male,65.0,test
800,1616,seniors,male,64.0,test
801,1618,seniors,male,64.0,test
802,1621,seniors,male,64.0,test
803,1622,seniors,female,73.0,test
804,1626,seniors,male,64.0,test
805,1627,seniors,female,64.0,test
806,1628,seniors,female,64.0,test
807,1629,seniors,female,60.0,test
808,1630,seniors,female,76.0,test
809,1632,seniors,female,64.0,test
810,1633,seniors,female,61.0,test
811,1636,seniors,male,60.0,test
812,1637,seniors,female,60.0,test
813,1638,seniors,female,70.0,test
814,1639,seniors,female,62.0,test
815,1641,seniors,male,72.0,test
816,1644,seniors,female,68.0,test
817,1645,seniors,female,68.0,test
818,1646,seniors,female,68.0,test
819,1649,seniors,male,68.0,test
820,1650,seniors,male,69.0,test
821,1651,seniors,male,61.0,test
822,1653,seniors,female,61.0,test
823,1654,seniors,male,63.0,test
824,1655,seniors,female,67.0,test
825,1656,seniors,male,65.0,test
826,1658,seniors,female,62.0,test
827,1659,seniors,female,64.0,test
828,1662,seniors,female,73.0,test
829,1663,seniors,male,69.0,test
830,1664,seniors,male,69.0,test
831,1666,seniors,male,69.0,test
832,1668,seniors,female,663.0,test
833,1670,seniors,female,65.0,test
834,1673,seniors,female,73.0,test
835,1674,seniors,male,71.0,test
836,1675,seniors,male,65.0,test
837,1676,seniors,male,60.0,test
838,1677,seniors,male,75.0,test
839,1678,seniors,female,75.0,test
840,1679,seniors,female,73.0,test
841,1680,seniors,female,63.0,test
842,1681,seniors,female,75.0,test
843,1682,seniors,female,75.0,test
844,1683,seniors,female,66.0,test
845,1684,seniors,male,68.0,test
846,1685,seniors,female,63.0,test
847,1686,seniors,female,76.0,test
848,1687,seniors,female,71.0,test
849,1689,seniors,female,71.0,test
850,1691,seniors,male,60.0,test
851,1692,seniors,female,64.0,test
852,1693,seniors,male,60.0,test
