id,age group,dataset,gender,age,mainCharacter,emotion,activity,situation,expectation,need,mainCharacter_ko,emotion_ko,activity_ko,situation_ko,expectation_ko,need_ko,drawing_time,stroke_count,avg_stroke_length
168,children&Adolescents,test,,,,,,,,,,,,,,,,576,39967.04973417620
169,children&Adolescents,train,,,,,,,,,,,,,,,,180,9518.94041565
170,children&Adolescents,train,,,,,,,,,,,,,,,,62,2831.3407772142000
172,children&Adolescents,train,,,,,,,,,,,,,,,,182,15587.667983878800
173,children&Adolescents,train,,,,,,,,,,,,,,,,64,4921.841382588490
174,children&Adolescents,train,,,,,,,,,,,,,,,,126,7771.781457165890
175,children&Adolescents,train,,,,,,,,,,,,,,,,104,8115.249382231280
176,children&Adolescents,test,,,,,,,,,,,,,,,,80,9814.0134818849
177,children&Adolescents,train,,,,,,,,,,,,,,,,105,6156.784834487050
178,children&Adolescents,train,,,,,,,,,,,,,,,,109,6533.374839106930
179,children&Adolescents,train,,,,,,,,,,,,,,,,157,10521.595206830400
180,children&Adolescents,train,,,,,,,,,,,,,,,,118,47564.07213626840
181,children&Adolescents,train,,,,,,,,,,,,,,,,60,5082.966395314330
182,children&Adolescents,train,,,,,,,,,,,,,,,,113,11222.986787160600
183,children&Adolescents,train,,,,,,,,,,,,,,,,263,14091.118984637100
184,children&Adolescents,test,,,,,,,,,,,,,,,,84,7806.332153765180
185,children&Adolescents,test,,,,,,,,,,,,,,,,55,4044.384373903270
186,children&Adolescents,train,,,,,,,,,,,,,,,,92,4877.1635761395700
187,children&Adolescents,train,,,,,,,,,,,,,,,,126,14319.847474862700
188,children&Adolescents,train,,,,,,,,,,,,,,,,86,5194.739788309560
189,children&Adolescents,train,,,,,,,,,,,,,,,,49,14800.560758144800
190,children&Adolescents,test,,,,,,,,,,,,,,,,88,6074.3105217455
191,children&Adolescents,train,,,,,,,,,,,,,,,,130,7396.468233851260
192,children&Adolescents,train,,,,,,,,,,,,,,,,172,6989.687585409380
193,children&Adolescents,test,,,,,,,,,,,,,,,,41,5286.315620879180
194,children&Adolescents,train,,,,,,,,,,,,,,,,66,3170.4505740887300
195,children&Adolescents,train,,,,,,,,,,,,,,,,45,3893.859431462940
196,children&Adolescents,train,,,,,,,,,,,,,,,,64,5175.9736514491800
197,children&Adolescents,train,,,,,,,,,,,,,,,,57,8991.08235592314
198,children&Adolescents,train,,,,,,,,,,,,,,,,58,3562.8815126194600
199,children&Adolescents,train,,,,,,,,,,,,,,,,45,4682.517650725910
200,children&Adolescents,train,,,,,,,,,,,,,,,,93,10154.191626084300
201,children&Adolescents,train,,,,,,,,,,,,,,,,95,4025.8470568149600
202,children&Adolescents,test,,,,,,,,,,,,,,,,62,5742.534929335060
203,children&Adolescents,test,,,,,,,,,,,,,,,,83,3557.531761077400
204,children&Adolescents,train,,,,,,,,,,,,,,,,39,1417.9069800103500
205,children&Adolescents,train,,,,,,,,,,,,,,,,97,12112.545951222400
206,children&Adolescents,train,,,,,,,,,,,,,,,,39,7954.716586538530
207,children&Adolescents,train,,,,,,,,,,,,,,,,106,7090.6733519688200
208,children&Adolescents,train,,,,,,,,,,,,,,,,86,7784.224918865570
209,children&Adolescents,train,,,,,,,,,,,,,,,,191,7982.944138069070
210,children&Adolescents,train,,,,,,,,,,,,,,,,95,4025.8470568149600
211,children&Adolescents,train,,,,,,,,,,,,,,,,94,3053.0317515364100
212,children&Adolescents,train,,,,,,,,,,,,,,,,100,6767.234221035890
213,children&Adolescents,train,,,,,,,,,,,,,,,,33,3820.022396417060
214,children&Adolescents,train,,,,,,,,,,,,,,,,139,8429.193607664530
215,children&Adolescents,train,,,,,,,,,,,,,,,,85,4173.246045754770
216,children&Adolescents,test,,,,,,,,,,,,,,,,52,18065.01993300980
217,children&Adolescents,test,,,,,,,,,,,,,,,,150,8902.494698627980
218,children&Adolescents,train,,,,,,,,,,,,,,,,119,13924.67851266210
219,children&Adolescents,train,,,,,,,,,,,,,,,,97,13645.95400761730
220,children&Adolescents,train,,,,,,,,,,,,,,,,108,6984.089778399990
221,children&Adolescents,train,,,,,,,,,,,,,,,,121,7271.856146246010
222,children&Adolescents,test,,,,,,,,,,,,,,,,158,11747.316971592600
223,adult,test,,,,,,,,,,,,,,,,99,4407.816981414670
224,adult,test,,,,,,,,,,,,,,,,82,3156.640903778530
225,adult,test,,,,,,,,,,,,,,,,186,6593.0705639088700
226,adult,test,,,,,,,,,,,,,,,,176,8844.467500921950
227,adult,test,,,,,,,,,,,,,,,,105,6303.413256940070
344,children&Adolescents,train,male,8.0,,,be in the rain,,,,,,비를 먹고 있다,,,,18:10,49,16480.509734181100
345,children&Adolescents,test,male,8.0,I (the one with the umbrella),"I'm sad because it's raining, but I don't cry because I have a street lamp around me",I wait for the bus home with an umbrella,,,,나(우산을 쓰고 있는 사람),비가 와서 슬프지만 주변에 나를 지켜주는 친구와 가로등이 있어서 울진 않는다,우산을 쓰고 집으로 가는 버스를 기다린다 ,,,,03:04,47,8776.234089460720
346,children&Adolescents,test,female,13.0,,,"It's raining all of a sudden, so I'm embarrassed",,,,,,갑자기비가와서 당황하고있다,,,,03:27,97,10178.068966796200
347,adult,train,female,30.0,,,He's wearing a raincoat and he's really uncomfortable because of the rain,,,,,,비우를 쓰고 있고 비 때문에 엄청 찝찝해 하고 있음,,,,08:01,49,5365.4712622087100
348,adult,test,female,24.0,I,,"It is raining like spring rain, and I am going home with an umbrella while enjoying the moist scenery",,,,나,,봄비같은 비가오는데 촉촉한 풍경을 즐기며 우산을 쓰고 집에 가고있다,,,,07:43,76,7997.672058697230
349,seniors,train,female,80.0,a schoolgirl,"""I'm happy to use an umbrella.""",I am going home from school,,,,여학생,'우산 을 쓸 수 있어서 행복함,I학교를 마치고 집으로 돌아가고 있다,,,,04:22,30,2702.6781360360700
353,adult,test,female,25.0,,Comfortable.,"While taking a walk, I put down my cell phone for a while and enjoy the rainy scenery.",,,,,편안하다,산책을 하다가 잠시 핸드폰을 내려놓고 비 오는 풍경을 감상하고 있다.,,,,03:51,155,6502.478022469980
354,adult,test,male,23.0,,be spaced out,I'm walking in the rain with an umbrella,,,,,멍때리고있다,우산 쓰고 비속에서 걷고있다,,,,10:23,69,4480.818148509890
355,adult,test,female,20.0,Myself,Glad,Taking a walk in the rain with an umbrella,,,,본인,기쁘다,우산쓰고 비 구경하며 산책중,,,,04:06,140,8732.59516920523
358,adult,train,female,31.0,,,,,,,,,,,,,08:00,62,4979.393394687060
361,adult,test,female,35.0,,,,,,,,,,,,,08:38,90,5189.235511004470
363,adult,train,female,25.0,,It's fun.,I enjoy playing with my dog in the rain,,,,,즐겁다.,비 맞으며 강아지랑 노는 것이 즐겁다,,,,03:31,198,6234.784532550790
364,adult,train,female,29.0,It's me,,I am going to meet my friends because I am happy because it rained.,,,,나 자신입니다,,비가 와서 행복해해서 친구들을 만나러 가는중입니다.,,,,16:41,61,6931.009520123590
365,adult,train,female,25.0,,,,,,,,,,,,,02:15,88,3256.5388251967500
367,adult,test,female,44.0,,,go out with an umbrella,,,,,,우산을 쓰고 외출한다,,,,21:13,139,10854.30624114800
370,children&Adolescents,test,female,13.0,,,,,,,,,,,,,03:35,114,14446.98514442760
371,adult,train,female,41.0,,Sad,I'm walking,,,,,슬프다,걸어가고있다,,,,06:57,90,7920.628567372780
373,children&Adolescents,train,female,13.0,,Be spaced out.,to be doing music (guitar),,,,,멍하다,음악을 하고 있다(기타),,,,05:49,133,6058.917922328810
374,children&Adolescents,test,female,13.0,,Happy,"It's raining, but a person is standing",,,,,행복하다,비가 오는데 사람이 서있다,,,,02:58,86,5753.439564157610
375,adult,test,female,37.0,,Happy,I'm thinking about memories in the rain,,,,,행복하다,비를 맞으면서 추억을 생각하고 있다,,,,07:16,102,9846.232066824140
376,children&Adolescents,test,female,13.0,,Feel depressed.,be on one's way home with an umbrella,,,,,우울하다,우산을 들고 집에 가고 있다,,,,06:10,138,9601.822007042560
377,children&Adolescents,train,male,13.0,,Happy,be on one's way to work,,,,,행복하다,출근을 하고있다,,,,04:08,65,7385.411943753170
378,adult,train,female,24.0,,Happy,I'm going to drink under one's umbrella,,,,,행복하다,우산을 쓰고 술을 마시러 간다,,,,07:47,154,18600.96977122180
379,children&Adolescents,test,female,13.0,,Happy,be on one's way home,,,,,행복하다,집에 가고 있다,,,,02:23,105,7070.865846000350
380,children&Adolescents,test,male,13.0,,Sad,"As I get older, I feel sad when it rains",,,,,슬프다,나이가 먹으몀 비가 오면 슬프다,,,,03:11,40,3955.247356628530
381,adult,train,female,51.0,,,,,,,,,,,,,08:29,102,7194.900325475000
383,children&Adolescents,test,male,13.0,,Happy,be on one's way home,,,,,행복하다,집에 가고 있다,,,,01:57,72,5902.556591902360
384,children&Adolescents,test,male,13.0,,Lonely,I feel lonely holding an umbrella by myself,,,,,외롭다,혼자 우산들고 있어서 외롭다,,,,01:50,61,3939.318619034370
386,adult,train,female,30.0,,Sad,to be walking in the rain,,,,,슬프다,비를 맞으며 걸어가고 있다,,,,14:16,180,9604.560172612500
387,adult,train,male,28.0,,It is cool.,be passing by in the rain,,,,,시원하다,빗속을 지나가고 있다,,,,27:46,60,5863.166910228060
388,adult,train,female,54.0,a tall man on the left,Happy,be on a date,,,,왼쪽 키 큰 남자,행복하다,데이트를 하고 있다,,,,04:00,84,7132.302144770760
390,adult,train,female,48.0,,Lonely,be waiting for a woman,,,,,외롭다,여자를 기다리고있다,,,,03:50,171,5971.044057307190
392,adult,train,female,38.0,,It's just so-so,be walking in the rain,,,,,그냥그렇다,비맞고 걷고있다,,,,13:55,207,116282.11767767700
393,children&Adolescents,test,female,13.0,,Happy,be in the rain,,,,,행복하다,비를 맞고 있다,,,,07:38,89,12216.574104557000
396,seniors,test,male,62.0,,Happy,keep an umbrella,,,,,행복하다,우산을 쓰고 있다,,,,08:56,88,7813.035521526120
397,adult,train,female,19.0,,Glad,"Since it's raining, I'm glad that the rain provides us with water",,,,,기쁘다,비가 오니까 비는 우리들에게 물을 제공해주니까 기쁘다 ,,,,34:38,40,10556.11577143190
398,adult,train,female,58.0,,Glad,"I am thinking about it with an umbrella, looking at the grass, and thinking that I am energized by the water",,,,,기쁘다,우산을 쓰고 생각을 하고 나무 풀을 바라보며 물을 받아 생기가 돈다고 생각하고있다,,,,02:13,24,2162.41698558876
399,adult,test,female,57.0,,Happy,be on one's way home with an umbrella,,,,,행복하다,우산을 쓰고 집애 가고 있다,,,,16:06,177,29129.788321145800
400,seniors,train,female,72.0,,Glad,just stay still,,,,,기쁘다,그냥 가만히 있다,,,,06:33,60,5241.791232852030
402,seniors,test,male,60.0,a person holding an umbrella,Angry,I was annoyed because my clothes got wet with an umbrella on a rainy day,,,,우산을 들고있는 사람,화가난다,비오는 날에 우산을 쓰고 옷이 젖어서 짜증이났다,,,,03:52,68,9660.450065146310
404,seniors,test,female,73.0,I,Want to avoid it,I'm going home with an umbrella.,,,,나,피하고싶다,우산을 쓰고 퇴근을 하는 중이다.,,,,02:16,33,2779.499527364520
405,seniors,train,male,69.0,,,,,,,,,,,,,04:07,37,3316.030677624880
406,adult,train,male,51.0,,have no particular idea,keep an umbrella,,,,,특별한 생각이 없다,우산을 쓰고 있다,,,,01:44,50,5884.102752505360
407,seniors,train,male,96.0,,I don't know.,School with an umbrella,,,,,모르겠다,우산쓰고 학교,,,,01:54,17,1473.8586133522200
408,seniors,train,male,70.0,,have no idea,I'm on my way to work with an umbrella,,,,,아무 생각 없다,우산 쓰고 할 일 하러 가고 있다,,,,02:54,60,3688.726241847590
409,seniors,train,male,78.0,,Want to avoid it,I'm getting wet because I don't have an umbrella,,,,,피하고싶다,우산이없어서 비를 맞고있다,,,,04:29,57,4769.733221045960
410,seniors,test,male,79.0,,I don't care much,be in the rain without an umbrella,,,,,별 생각 없다,우산 없이 비를 맞고 있다,,,,02:13,37,3004.74581025051
411,seniors,train,male,75.0,me in the rain,Comfortable.,I'm lying on the field in the heavy rain and getting wet without thinking nothing,,,,비를맞는 나,편안하다,폭우 속 운동장에 누워서 아무생각 없이 비를 맞고있는 모습입니다,,,,02:10,58,6253.513503152920
412,seniors,train,male,76.0,,I don't think about anything. I just think it's raining,to be in the rain without an umbrella,,,,,아무생각없다 그냥 비가 온다고 생각하고있다,우산없이 비를 맞고있다,,,,02:24,31,4741.21794058904
413,seniors,test,male,72.0,,,,,,,,,,,,,03:32,42,3668.804628955150
416,seniors,train,male,77.0,,Happy,"Wearing raincoats and boots, holding umbrellas, enjoying the rain outside.",,,,,행복하다,우비를 쓰고 장화를 신고 우산을 들고 밖에서 비를 즐기고 있다.,,,,03:03,73,4762.486429931310
419,seniors,train,male,82.0,,Glad,I am going home with an umbrella.,,,,,기쁘다,우산을 쓰고 집에 가고 있다.,,,,02:25,43,3223.2223631019300
420,seniors,train,female,84.0,,Want to avoid it,"Today, I am waiting for my friend with an umbrella",,,,,피하고싶다,비오늘날에 우산을 쓰고 친구를 기다리고 있다,,,,03:02,44,2898.351289342490
421,seniors,test,male,75.0,,Just.,Running on the field on a rainy day,,,,,그냥,폭우가 내리는날 운동장 뛰는 모습,,,,01:47,19,2609.980618614070
423,seniors,train,male,78.0,a boy,Want to avoid it,stand on the street,,,,남자아이,피하고싶다,길에 서있다,,,,01:47,27,2973.979731740440
424,seniors,train,male,80.0,,Bring an umbrella,,,,,,우산 챙길거,,,,,03:42,66,6227.093664181100
425,seniors,train,male,78.0,,Sad,to be waiting for someone with an umbrella in the rain,,,,,슬프다,우산을 쓰고 내리는 비와 함께 누군가를 기다리고 있다,,,,01:25,38,3148.1680516358400
426,children&Adolescents,train,female,18.0,,Sad,stand in the rain,,,,,슬프다,비 맞으며 서있다,,,,03:59,149,6091.4375770291900
427,children&Adolescents,test,female,18.0,,I don't care much,be in the rain,,,,,별생각없다,비를맞고있다,,,,04:40,92,9243.224536819260
428,seniors,train,male,83.0,,Happy,I am going home with an umbrella.,,,,,행복하다,우산을 쓰고 집에 가고 있다.,,,,02:05,32,3209.0076886128200
429,seniors,test,male,83.0,a stranger,Want to avoid it,to be in the rain while walking alone,,,,모르는 사람,피하고싶다,혼자 걸어가면서 비를 맞고 있다,,,,02:19,23,4490.819374485080
430,seniors,train,female,83.0,,,,,,,,,,,,,04:49,114,9553.99985632977
431,adult,train,female,83.0,,"I'm happy and upset, and all kinds of emotions pass by","I have an umbrella, but I'm walking in the rain in a raincoat",,,,,행복하기도 하고 속상하기도 하고 온갖 감정들이 스쳐지나간다,우산이 있지만 우비를 입으며 빗속을 걷고 있다,,,,06:13,168,13897.61577141300
432,children&Adolescents,train,male,19.0,,Glad,be on one's way home,,,,,기쁘다,집에 가고 있다,,,,03:55,60,7945.265042830740
433,seniors,train,male,85.0,,I feel a bit down,be on one's way home with an umbrella,,,,,조금 축 처진다,우산을 쓰고 집에 가고 있다,,,,03:56,43,4818.606461779420
434,children&Adolescents,train,female,17.0,,Happy,be walking with an umbrella,,,,,행복하다,우산을 쓰고 걷고있다,,,,02:26,56,4215.257900295670
435,adult,test,male,20.0,,Glad,be talking under an umbrella,,,,,기쁘다,우산을 쓰고 이야기를 하고 있다,,,,07:03,90,9111.644344800410
436,adult,train,female,55.0,,Glad,Going home from school and running through puddles of water excitedly!,,,,,기쁘다, 학교를 마치고 집에가면서 물 웅덩이를 뛰면서 신나게 가고 있다.!,,,,05:05,95,11088.81729293350
437,adult,train,female,26.0,A boy holding an umbrella in the middle.,Glad,I'm going home with an umbrella.,,,,중간에서 우산을 쓰고 있는 남자아이.,기쁘다,우산을 쓰고 집을 가고 있다.,,,,09:14,81,6010.055617914280
439,children&Adolescents,train,male,17.0,,,,,,,,,,,,,05:50,114,6487.504397383780
440,children&Adolescents,test,male,17.0,Teacher Danim is looking at his childhood as a lonely and sad time,Sad,The human nature of altruism was expressed along with reflection on the selfish choices made,,,,다님쌤 어릴적 시절을 외롭고 서글픈 시절로 바라보고 있는 모습,슬프다,그동안의 이기적 선택에 대한 반성과 함께 이타심이라는 인간의 본성 발현되었다,,,,01:32,50,6282.817158261490
441,children&Adolescents,test,female,18.0,,,,,,,,,,,,,02:06,19,2308.785581539860
442,children&Adolescents,train,female,18.0,,Glad,be on one's way home in a raincoat,,,,,기쁘다,비옷을 입고 집에 가고 있다,,,,02:32,22,2531.03778718228
443,adult,train,female,26.0,I,Happy,be walking on the street,,,,나,행복하다,길을 걷고 있다,,,,04:29,182,10047.686363436200
444,adult,train,male,24.0,,Happy,I'm getting rained on,,,,,행복하다,비를 맞고 있어요,,,,06:14,179,8067.909034066080
